time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,Date
2025-04-12,21.84,12.853333333333332,0.0,3.825381818181818,2025-04-12
2025-04-13,21.04,14.153333333333332,0.0,3.8545090909090907,2025-04-13
2025-04-14,22.64,13.653333333333332,0.0,3.9030545454545456,2025-04-14
2025-04-15,25.64,16.053333333333335,0.0,4.738036363636363,2025-04-15
2025-04-16,19.54,13.853333333333332,0.0,2.67,2025-04-16
2025-04-17,19.34,13.053333333333335,0.0,3.9807272727272722,2025-04-17
2025-04-18,19.94,11.553333333333335,0.0,3.9904363636363636,2025-04-18
2025-04-19,19.44,11.153333333333332,0.0,4.009854545454545,2025-04-19
2025-04-20,22.34,11.153333333333332,0.0,4.233163636363637,2025-04-20
2025-04-21,23.04,13.853333333333332,0.9003189792663479,3.893345454545454,2025-04-21
2025-04-22,16.240000000000002,9.953333333333333,3.421212121212122,3.3399272727272726,2025-04-22
2025-04-23,17.84,9.553333333333335,2.160765550239235,2.5146545454545453,2025-04-23
2025-04-24,13.34,11.453333333333333,35.292503987240835,1.4272363636363634,2025-04-24
2025-04-25,13.94,13.153333333333332,33.67192982456141,1.4660727272727272,2025-04-25
2025-04-26,19.04,12.653333333333332,22.688038277511964,3.5049818181818178,2025-04-26
