07 08 1950	19.0875 32.0375 0.0 5.8376694
08 08 1950	19.1875 31.537498 0.0 5.902036
09 08 1950	20.287498 30.887499 0.0 5.2862535
10 08 1950	21.4875 31.8375 0.0 5.1149416
11 08 1950	21.537498 32.3875 0.0 5.892326
12 08 1950	20.387499 32.9375 0.1 5.744508
13 08 1950	20.1875 31.9375 0.0 6.067081
14 08 1950	19.387499 30.387499 1.7 5.0318394
15 08 1950	19.637499 31.537498 0.0 5.884356
16 08 1950	19.9875 30.4875 0.0 5.7246466
17 08 1950	18.8375 29.387499 0.0 5.460709
18 08 1950	18.2375 31.0875 0.0 5.1549034
19 08 1950	19.887499 32.1875 0.1 4.874513
20 08 1950	20.887499 31.5875 0.0 5.0526867
21 08 1950	19.4875 32.837498 0.0 5.680805
22 08 1950	19.787498 33.7375 0.0 5.871966
23 08 1950	20.7375 32.7875 0.0 5.8763895
24 08 1950	20.137499 33.0375 0.0 5.832698
25 08 1950	18.8375 32.9875 0.0 5.843232
26 08 1950	19.2375 32.6875 0.0 5.8838844
27 08 1950	19.1875 33.2875 0.0 5.7424493
28 08 1950	19.4875 33.587498 0.0 5.686677
29 08 1950	20.7375 35.837498 0.0 5.813611
30 08 1950	21.3375 34.7375 0.0 5.3805876
31 08 1950	21.3375 32.7375 0.0 5.582424
01 09 1950	17.7375 26.787498 0.1 5.0967712
02 09 1950	17.037498 24.8375 1.5000001 4.3701925
03 09 1950	17.5875 26.137499 0.0 5.2111597
04 09 1950	19.3375 25.4875 0.0 5.255928
05 09 1950	17.1875 29.037498 0.0 4.9131136
06 09 1950	17.887499 28.3375 0.0 4.5591335
07 09 1950	17.4375 28.9375 0.0 3.9231904
08 09 1950	17.887499 30.1875 0.0 4.8738585
09 09 1950	18.2375 32.0375 0.0 5.063081
10 09 1950	19.2375 33.337498 0.0 5.122719
11 09 1950	19.3375 31.537498 0.0 4.832789
12 09 1950	19.4375 31.9875 0.0 4.8763223
13 09 1950	20.3375 29.7375 0.0 4.229197
14 09 1950	20.537498 28.787498 0.0 3.8682222
15 09 1950	19.887499 28.8375 0.0 4.1702437
16 09 1950	17.0875 24.4375 0.0 5.457331
17 09 1950	15.9375 26.7375 0.0 4.857778
18 09 1950	14.9375 28.0875 0.0 4.4675875
